risk_month,segment,current_rating,total_loans,total_exposure,total_expected_loss,avg_provision_rate
2024-09-01,RS,C,3,2320.87,0.0,0.0
2024-09-01,SC,B,1,433.01,0.0,0.0
2024-09-01,SC,C,10,9225.31,637.28,0.069079521446975767
2024-09-01,SC,D,7,6972.5,4423.45,0.63441376837576191
2024-09-01,SE,D,1,335.71,0.0,0.0
2024-09-01,SP,B,18,10551.22,505.3,0.047890196583902152
2024-09-01,SP,A,3,1118.32,0.0,0.0
2024-09-01,SP,F,1,217.79,0.0,0.0
2024-09-01,SP,D,95,57126.3,1376.8899999999999,0.02410255871638807
2024-09-01,SP,E,15,12542.72,86.96,0.0069331054189202979
2024-09-01,SP,C,131,95413.38,11980.42,0.12556331197993403
2024-08-01,AM,D,1,73.9,0.0,0.0
2024-08-01,AP,E,1,114.68,0.0,0.0
2024-08-01,BA,D,1,89.4,0.0,0.0
2024-08-01,BA,C,2,1114.36,0.0,0.0
2024-08-01,CE,B,22,8741.58,1205.17,0.13786638113476055
2024-08-01,CE,F,1,1078.8,0.0,0.0
2024-08-01,CE,A,17,10823.97,808.67,0.074711034860591816
2024-08-01,CE,E,12,5289.85,0.0,0.0
2024-08-01,CE,D,131,102524.88,6746.46,0.065803149440408992
2024-08-01,CE,C,201,138594.1,9209.13,0.066446767936008816
2024-08-01,ES,C,2,1210.45,0.0,0.0
2024-08-01,ES,E,1,310.93,0.0,0.0
2024-08-01,ES,D,1,249.9,0.0,0.0
2024-08-01,GO,D,1,892.92,0.0,0.0
2024-08-01,MA,C,1,2611.13,0.0,0.0
2024-08-01,MG,E,2,644.56,0.0,0.0
2024-08-01,MG,B,2,1232.93,0.0,0.0
2024-08-01,MG,D,9,7595.35,479.4,0.0631175653524854
2024-08-01,MG,F,1,183.42,0.0,0.0
2024-08-01,MG,C,21,16427.95,2908.75,0.17706104535258507
2024-08-01,MT,E,1,243.83,0.0,0.0
2024-08-01,MT,C,1,240.8,0.0,0.0
2024-08-01,MT,D,1,1764.97,0.0,0.0
2024-08-01,PA,D,1,174.09,0.0,0.0
2024-08-01,PA,E,1,579.85,0.0,0.0
2024-08-01,PA,C,2,1098.71,0.0,0.0
2024-08-01,PB,F,1,1383.68,0.0,0.0
2024-08-01,PB,B,1,20,0.0,0.0
2024-08-01,PB,A,3,778.43,0.0,0.0
2024-08-01,PB,C,53,52700.67,2525.02,0.047912483845082045
2024-08-01,PB,E,10,6868.05,0.0,0.0
2024-08-01,PB,D,32,36066.98,0.0,0.0
2024-08-01,PE,F,1,325.33,0.0,0.0
2024-08-01,PE,E,91,73355.42,6504.1699999999992,0.08866652252826035
2024-08-01,PE,A,36,45412.44,581.36,0.012801778543500415
2024-08-01,PE,D,385,322605.88,20452.940000000002,0.063399154410948746
2024-08-01,PE,C,569,593285.97,46270.51,0.077990231253909484
2024-08-01,PE,B,59,90582.73,657.32999999999993,0.0072566812680518681
2024-08-01,PE,G,2,6282,0.0,0.0
2024-08-01,PR,C,1,41.97,0.0,0.0
